# curie_map:
#   ao: http://purl.org/ao/
#   geno: http://purl.obolibrary.org/obo/GENO_
#   ggw: https://gigwa.southgreen.fr/ontology/
#   oa: http://www.w3.org/ns/oa#
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sio: http://semanticscience.org/resource/SIO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   so: http://purl.obolibrary.org/obo/SO_
#   sssom: https://w3id.org/sssom/
#   vrs1: https://w3id.org/ga4gh/schema/vrs/1.3/json/
# mapping_set_id: https://w3id.org/vcf-core/mappings/bh25/gigwa
# mapping_set_title: SWAT4HCLS BioHackathon 2025: Gigwa to GA4GH VRS
# mapping_set_description: Mappings declared during the SWAT4HCLS 2025 BioHackathon between the Gigwa variant-annotation model (and the SO, GENO, SIO and annotation terms it reuses) and the GA4GH Variation Representation Specification. Transcribed from the project's curation spreadsheet; see mappings/README.md for the normalisations applied.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/NuriaQueralt/SWAT4HCLS-BH25-variant-rdf-representations
# mapping_tool: manual curation
# mapping_set_source:
#   - https://docs.google.com/spreadsheets/d/1JCVV3GB7t4cp4GrKcfn0OG4dJjJHI9dp5BEHEl-3xN8/edit#gid=1611409294
# subject_source: https://gigwa.southgreen.fr/gigwa/
# object_source: https://github.com/ga4gh/vrs/blob/1.3/schema/vrs.yaml
# comment: The ggw: namespace is a placeholder: Gigwa's annotation model had no published namespace IRI at the time of curation. SO/GENO/SIO CURIEs are normalised to the OBO and SIO forms used elsewhere in this repository. The curators worked against GA4GH VRS 1.2/1.3, so objects use the vrs1: prefix (VRS 1.3). Several targets here -- Genotype, Haplotype, SequenceInterval, ChromosomeLocation, Text, Residue, Feature, Gene, UtilityVariation -- were removed in VRS 2.0, which is the version vcf-core itself targets. See mappings/vcf-core-alignments.sssom.tsv for the vcf-core to VRS 2.0 spoke. Transcription verified against the source sheet on 2026-09-08: subject, predicate and object of every row match after the normalisations noted above.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	mapping_date	author_id
ggw:VariantAnnotation	variantAnnotation	skos:broadMatch	vrs1:Variation	Variation	semapv:ManualMappingCuration	0.8		2025-02-27	orcid:0000-0002-2923-9790
ggw:VariantEffect	VariantEffect	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
ggw:VariantImpact	VariantImpact	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
ggw:VariantFeatureType	VariantFeatureType	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
so:0000704	gene	skos:exactMatch	vrs1:Gene	Gene	semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
so:0000340	chromosome	skos:broadMatch	vrs1:SequenceLocation	SequenceLocation	semapv:ManualMappingCuration		Source sheet wrote the object in lower camel case as ga4ghvrs:sequenceLocation.	2025-02-27	orcid:0000-0002-2923-9790
so:0000694	SNP	skos:broadMatch	vrs1:MolecularVariation	MolecularVariation	semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
so:1000032	indel	skos:broadMatch	vrs1:MolecularVariation	MolecularVariation	semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
so:0001785	structural_alteration	skos:broadMatch	vrs1:MolecularVariation	MolecularVariation	semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
so:0001019	copy_number_variation	skos:broadMatch	vrs1:CopyNumber	CopyNumber	semapv:ManualMappingCuration		CopyNumber existed in VRS 1.2 only; VRS 1.3 split it into CopyNumberCount and CopyNumberChange.	2025-02-27	orcid:0000-0002-2923-9790
sio:001381	variant	skos:broadMatch	vrs1:MolecularVariation	MolecularVariation	semapv:ManualMappingCuration			2025-02-27	orcid:0000-0002-2923-9790
geno:0000002	variant allele	skos:narrowMatch	vrs1:Allele	Allele	semapv:ManualMappingCuration	0.8	The source sheet recorded this mapping twice, as GENO:GENO_0000002 and geno:0000002; merged.	2025-02-27	orcid:0000-0002-2923-9790
