# curie_map:
#   dct: http://purl.org/dc/terms/
#   faldo: http://biohackathon.org/resource/faldo#
#   hco: http://identifiers.org/hco/
#   med2rdf: http://med2rdf.org/ontology/med2rdf#
#   orcid: https://orcid.org/
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   sio: http://semanticscience.org/resource/SIO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   so: http://purl.obolibrary.org/obo/SO_
#   sssom: https://w3id.org/sssom/
#   vario: http://purl.obolibrary.org/obo/VariO_
#   vrs1: https://w3id.org/ga4gh/schema/vrs/1.3/json/
#   xsd: http://www.w3.org/2001/XMLSchema#
# mapping_set_id: https://w3id.org/vcf-core/mappings/bh25/med2rdf
# mapping_set_title: SWAT4HCLS BioHackathon 2025: Med2RDF to GA4GH VRS
# mapping_set_description: Mappings declared during the SWAT4HCLS 2025 BioHackathon between the Med2RDF ontology (and the FALDO, SIO and HCO terms it reuses) and the GA4GH Variation Representation Specification. Transcribed from the project's curation spreadsheet; see mappings/README.md for the normalisations applied.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/NuriaQueralt/SWAT4HCLS-BH25-variant-rdf-representations
# mapping_tool: manual curation
# mapping_set_source:
#   - https://docs.google.com/spreadsheets/d/1JCVV3GB7t4cp4GrKcfn0OG4dJjJHI9dp5BEHEl-3xN8/edit#gid=1360905090
# subject_source: http://med2rdf.org/
# object_source: https://github.com/ga4gh/vrs/blob/1.3/schema/vrs.yaml
# comment: The source sheet wrote some object CURIEs as g44gh:; these are corrected to vrs1: and flagged per row. One subject cell listed three CURIEs at once and is split into three rows here. The curators worked against GA4GH VRS 1.2/1.3, so objects use the vrs1: prefix (VRS 1.3). Several targets here -- Genotype, Haplotype, SequenceInterval, ChromosomeLocation, Text, Residue, Feature, Gene, UtilityVariation -- were removed in VRS 2.0, which is the version vcf-core itself targets. See mappings/vcf-core-alignments.sssom.tsv for the vcf-core to VRS 2.0 spoke. Transcription verified against the source sheet on 2026-09-08: subject, predicate and object of every row match after the normalisations noted above.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	mapping_date	author_id
sio:000897	association	skos:closeMatch	vrs1:Text	Text	semapv:ManualMappingCuration	0.6	The sheet listed SIO_000897 twice, labelled 'association' and 'annotation'; the same triple, merged here.	2025-02-27	orcid:0000-0003-0169-8159
sio:001122	gene-disease association linked with genetic variation	skos:closeMatch	vrs1:Text	Text	semapv:ManualMappingCuration	0.6		2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Variation	Variation	skos:broadMatch	vrs1:Variation	Variation	semapv:ManualMappingCuration	1.0	Source sheet listed med2rdf:Variation, obo:SO_0001060 and obo:VariO_0001 in one cell; split into three rows.	2025-02-27	orcid:0000-0003-0169-8159
so:0001060	sequence variant	skos:broadMatch	vrs1:Variation	Variation	semapv:ManualMappingCuration	1.0	Split from a combined subject cell; see med2rdf:Variation.	2025-02-27	orcid:0000-0003-0169-8159
vario:0001	variation	skos:broadMatch	vrs1:Variation	Variation	semapv:ManualMappingCuration	1.0	Split from a combined subject cell; see med2rdf:Variation.	2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Disease	Disease	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration			2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Genome	Genome	skos:narrowMatch	vrs1:Genotype	Genotype	semapv:ManualMappingCuration	0.8		2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Genome	Genome	skos:closeMatch	vrs1:Feature	Feature	semapv:ManualMappingCuration		Second, competing mapping for the same subject as recorded in the source sheet.	2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Gene	Gene	skos:closeMatch	vrs1:Gene	Gene	semapv:ManualMappingCuration	1.0		2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Transcript	Transcript	skos:closeMatch	vrs1:Feature	Feature	semapv:ManualMappingCuration	1.0		2025-02-27	orcid:0000-0003-0169-8159
sio:001050	sample	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration			2025-02-27	orcid:0000-0003-0169-8159
med2rdf:Evidence	Evidence	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration			2025-02-27	orcid:0000-0003-0169-8159
rdf:Statement	Statement	skos:closeMatch	vrs1:Text	Text	semapv:ManualMappingCuration	0.6		2025-02-27	orcid:0000-0003-0169-8159
