# curie_map:
#   faldo: http://biohackathon.org/resource/faldo#
#   geno: http://purl.obolibrary.org/obo/GENO_
#   orcid: https://orcid.org/
#   semapv: https://w3id.org/semapv/vocab/
#   sio: http://semanticscience.org/resource/SIO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   so: http://purl.obolibrary.org/obo/SO_
#   sssom: https://w3id.org/sssom/
#   vrs1: https://w3id.org/ga4gh/schema/vrs/1.3/json/
# mapping_set_id: https://w3id.org/vcf-core/mappings/bh25/sembeacon
# mapping_set_title: SWAT4HCLS BioHackathon 2025: SemBeacon to GA4GH VRS
# mapping_set_description: Mappings declared during the SWAT4HCLS 2025 BioHackathon between the SemBeacon genomic-variants schema (built on SO, GENO, SIO and FALDO) and the GA4GH Variation Representation Specification. Transcribed from the project's curation spreadsheet; see mappings/README.md for the normalisations applied.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/NuriaQueralt/SWAT4HCLS-BH25-variant-rdf-representations
# mapping_tool: manual curation
# mapping_set_source:
#   - https://docs.google.com/spreadsheets/d/1JCVV3GB7t4cp4GrKcfn0OG4dJjJHI9dp5BEHEl-3xN8/edit#gid=2139040152
# subject_source: https://gitlab.univ-nantes.fr/bodrug-a/genomic-variants-schema
# object_source: https://github.com/ga4gh/vrs/blob/1.3/schema/vrs.yaml
# comment: The source sheet's last block (faldo:location, faldo:begin, faldo:end, faldo:position, geno:0000382, geno:0000207, sio:000300) was left incomplete during curation: it has no predicate or no object. Those rows are recorded in mappings/bh25/UNRESOLVED.md rather than asserted here. The curators worked against GA4GH VRS 1.2/1.3, so objects use the vrs1: prefix (VRS 1.3). Several targets here -- Genotype, Haplotype, SequenceInterval, ChromosomeLocation, Text, Residue, Feature, Gene, UtilityVariation -- were removed in VRS 2.0, which is the version vcf-core itself targets. See mappings/vcf-core-alignments.sssom.tsv for the vcf-core to VRS 2.0 spoke. Transcription verified against the source sheet on 2026-09-08: subject, predicate and object of every row match after the normalisations noted above.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment	mapping_date	author_id
so:0001059	sequence alteration	skos:broadMatch	vrs1:MolecularVariation	Variation	semapv:ManualMappingCuration	0.8		2025-02-26	orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
so:0001059	sequence alteration	skos:closeMatch	vrs1:Allele	Allele	semapv:ManualMappingCuration	0.8	Curators compared allele definitions across ISOGG, SO (SO:0001023 allele, SO:0001059 sequence_alteration, SO:0001060 sequence_variant), Wikipedia and GENO:0000512 before settling on closeMatch.	2025-02-26	orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
geno:0000137	zygosity	skos:broadMatch	vrs1:Haplotype	Haplotype	semapv:ManualMappingCuration		Haplotype is out of scope for SemBeacon, which does not represent variants at the individual level, but zygosity is still represented; unknown zygosity is acceptable.		orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
so:0000353	sequence assembly	skos:narrowMatch	vrs1:SequenceLocation	SequenceLocation	semapv:ManualMappingCuration		SequenceLocation resolves to gks.core:iriReference.	2025-02-26	orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
geno:0000036	reference allele	skos:broadMatch	vrs1:Allele	Allele	semapv:ManualMappingCuration	0.8		2025-02-26	orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
geno:0000002	variant allele	skos:broadMatch	vrs1:Allele	Allele	semapv:ManualMappingCuration	0.8			orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
faldo:Region	region	skos:broadMatch	vrs1:Location	Location	semapv:ManualMappingCuration	0.8	Curators noted that biologists use location or locus at widely varying precision, from numeric start and end coordinates to named genomic features standing in for locations on an implied reference sequence.		orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
faldo:Position	position	skos:broadMatch	vrs1:Location	Location	semapv:ManualMappingCuration	0.6			orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
faldo:Position	position	skos:broadMatch	vrs1:ChromosomeLocation	ChromosomeLocation	semapv:ManualMappingCuration	0.4	Competing lower-confidence mapping for the same subject, as recorded in the source sheet.		orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
faldo:Position	position	skos:broadMatch	vrs1:Gene	Gene	semapv:ManualMappingCuration		Recorded as out of scope for SemBeacon.		orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
faldo:reference	reference	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration		Not covered by GA4GH VRS.		orcid:0009-0006-3873-102X|orcid:0000-0002-3597-8557
